Player,Salary,Pos,Age,Tm,G,MP,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,BPM,VORP
Dewayne Dedmon,"$6,000,000 ",C,28,ATL,59,1458,15.7,0.599,17.8,9.2,1.3,2.7,14.8,17.1,1.6,1.7,3.3,0.4,0.9
Devin Harris,"$4,402,546 ",PG,34,DAL,44,807,13.5,0.56,5.9,16.4,2.1,0.9,12.8,21.5,0.7,0.8,1.5,-1.3,0.2
Devin Harris,"$4,402,546 ",PG,34,TOT,67,1272,12.8,0.561,5.3,16.7,1.8,0.8,13,20.1,1.4,0.9,2.3,-1.8,0
Devin Harris,"$4,402,546 ",PG,34,DEN,23,465,11.6,0.563,4.4,17.3,1.5,0.7,13.3,17.5,0.7,0.2,0.8,-2.9,-0.1
Devin Booker,"$2,319,360 ",SG,21,PHO,54,1865,18.1,0.561,7,24.5,1.2,0.6,13.9,31.6,1.9,0.5,2.4,0.5,1.2
Derrick Williams,"$104,059 ",PF,26,LAL,2,9,-3.2,0.25,5.9,0,0,0,0,18.9,0,0,0,-18.2,0
Derrick White,"$1,404,600 ",PG,23,SAS,17,139,15.9,0.646,10.4,9.3,1.5,1.8,12.6,15.4,0.3,0.2,0.5,0.5,0.1
Derrick Walton,$0 ,PG,22,MIA,16,147,11.3,0.525,6.1,14.6,2.4,1.7,6.7,9.1,0.2,0.2,0.4,-0.4,0.1
Derrick Rose,"$2,116,955 ",PG,29,MIN,5,58,16,0.481,4,23.3,1.7,0,10.4,29.2,0,0,0,-6.3,-0.1
Derrick Rose,"$2,116,955 ",PG,29,CLE,16,308,11.6,0.523,5.3,13,0.5,1.1,15.7,25.6,-0.1,0,-0.1,-7.6,-0.4
Derrick Rose,"$2,116,955 ",PG,29,TOT,21,366,12.3,0.515,5.1,14.6,0.7,0.9,14.8,26.2,-0.1,0,-0.1,-7.4,-0.5
Derrick Jones,"$1,312,611 ",SF,20,MIA,13,212,9,0.465,9,4,0.7,3.6,9.7,13.1,0.1,0.2,0.3,-2.6,0
Derrick Jones,"$1,312,611 ",SF,20,TOT,19,245,10.3,0.488,8.7,5.1,0.8,4.4,10.1,12.7,0.2,0.3,0.4,-1.7,0
Derrick Jones,"$1,312,611 ",SF,20,PHO,6,33,18.4,0.678,6.5,12.3,1.5,9.8,13.1,9.8,0.1,0,0.1,3.8,0
Derrick Favors,"$12,000,000 ",C,26,UTA,73,2044,18.8,0.594,14.5,8,1.3,3.2,10.3,18.5,4.3,3.2,7.5,2.5,2.4
Denzel Valentine,"$2,186,400 ",SG,24,CHI,77,2095,12.1,0.527,10,17.8,1.5,0.5,11.8,17.5,1,1.6,2.6,-0.5,0.8
Dennis Smith,"$3,218,280 ",PG,20,DAL,67,1978,12.8,0.475,7.1,29,1.7,0.7,15,29.1,-2.3,1.7,-0.7,-2.2,-0.1
Dennis Schroder,"$15,500,000 ",PG,24,ATL,67,2078,17.3,0.515,5.6,36.4,1.7,0.2,12.7,30.4,1.6,1,2.6,-0.7,0.7
Demetrius Jackson,"$92,858 ",PG,23,PHI,3,17,24.6,0.82,3.2,35.5,2.8,0,17,14.8,0.1,0,0.1,1,0
Demetrius Jackson,"$92,858 ",PG,23,TOT,15,80,5.4,0.424,8.4,15.9,3.1,1.1,34.6,15.8,-0.2,0.1,-0.1,-5.4,-0.1
Demetrius Jackson,"$92,858 ",PG,23,HOU,12,63,0.2,0.286,9.9,10.7,3.1,1.3,39.1,16.1,-0.3,0.1,-0.2,-7.2,-0.1
DeMarre Carroll,"$14,800,000 ",SF,31,BRK,73,2180,14.3,0.55,11.7,10.6,1.3,1,10.3,19.8,2.3,1.8,4.1,0.2,1.2
DeMarcus Cousins,"$18,063,850 ",C,27,NOP,48,1737,22.7,0.583,19.3,23.2,2.2,3.5,18.9,31.9,1.5,3.2,4.7,5.6,3.3
DeMar DeRozan,"$27,739,975 ",SG,28,TOR,77,2616,21.3,0.558,6.5,24.8,1.6,0.6,9.5,29.7,6.8,2.6,9.5,2,2.6
Delon Wright,"$1,645,200 ",PG,25,TOR,65,1339,16.8,0.577,7.7,19.8,2.5,2,14.2,17.2,2.4,1.9,4.3,2.9,1.6
Dejounte Murray,"$1,312,611 ",PG,21,SAS,78,1669,14.9,0.484,14.7,20.5,2.8,1.4,16.9,20.7,-0.3,3.3,3,1.1,1.3
DeAndre Liggins,"$1,577,230 ",SG,29,TOT,55,711,6.2,0.485,6.1,8.1,2.6,1.7,16.1,7.8,-0.1,0.7,0.6,-2,0
DeAndre Liggins,"$1,577,230 ",SG,29,MIL,31,480,5,0.424,6,7.3,2.8,1.8,16.2,7.6,-0.3,0.5,0.2,-2.3,0
DeAndre Liggins,"$1,577,230 ",SG,29,NOP,24,231,8.7,0.595,6.1,9.8,2.1,1.4,15.9,8.3,0.1,0.2,0.4,-1.4,0
DeAndre Jordan,"$22,642,350 ",C,29,LAC,73,2321,20.2,0.651,26.5,7.1,0.8,2.5,16.3,15.2,5.8,3.5,9.2,2.3,2.5
DeAndre' Bembry,"$1,567,200 ",SF,23,ATL,23,395,6.2,0.467,9.1,14.1,1.9,2.2,25.8,18,-0.9,0.4,-0.5,-5.5,-0.3
De'Aaron Fox,"$4,609,200 ",PG,20,SAC,70,1928,11.2,0.477,5.5,24.5,1.8,1,16.1,23.2,-1.5,0.9,-0.6,-4.4,-1.2
Davon Reed,"$815,615 ",SG,22,PHO,18,195,5.2,0.386,8.8,6.5,2.5,0.8,9.9,15.3,-0.3,0.1,-0.2,-6.1,-0.2
Davis Bertans,"$1,312,611 ",PF,25,SAS,74,1067,14.2,0.587,7.8,10.4,1.2,2.2,8.4,17.4,1.6,1.5,3.1,1.1,0.8
David West,"$2,328,652 ",C,37,GSW,69,947,21.4,0.609,13.5,20.4,2.3,6,16.4,22,1.7,1.7,3.5,3.4,1.3
David Stockton,"$148,318 ",PG,26,UTA,2,6,31.4,0.931,0,0,0,0,21,35.8,0.1,0,0.1,2.5,0
David Nwaba,"$1,312,611 ",SG,25,CHI,66,1529,12.8,0.561,10.6,9.4,1.8,1.7,13.1,15,1.4,1.4,2.8,-1,0.4
Darrun Hilliard,$0 ,SG,24,SAS,14,95,3.4,0.362,4.1,15.3,1.1,0,15.3,12.3,-0.1,0.1,0,-7.5,-0.1
Darren Collison,"$10,000,000 ",PG,30,IND,65,1929,18.9,0.613,4.9,26.3,2.3,0.7,11.2,17.4,5.6,1.8,7.3,2.2,2
